Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,josue,exodo
Old,Old,2samue,isaias
Old,Old,salmoslibro4,isaias
Old,Old,salmoslibro1,salmoslibro1
New,Old,apocalipsis,exodo
Old,Old,numeros,2cronicas
Old,Old,cantares,exodo
Old,New,salmoslibro5,ezequie
New,Old,marcos,2cronicas
Old,Old,jueces,salmoslibro1
Old,New,isaias,jeremias
Old,Old,jeremias,isaias
New,New,1timoteo,ezequie
Old,Old,ezequie,jeremias
Old,New,zacarias,ezequie
Old,New,1samue,ezequie
Old,Old,1samue,exodo
Old,Old,exodo,exodo
Old,Old,nehemias,jeremias
Old,Old,isaias,isaias
Old,Old,deuteronomio,deuteronomio
Old,Old,2cronicas,2cronicas
Old,Old,habacuc,salmoslibro1
Old,Old,josue,exodo
Old,Old,salmoslibro2,salmoslibro1
Old,Old,salmoslibro4,salmoslibro1
New,New,hechos,ezequie
New,Old,mateo,jeremias
Old,Old,salmoslibro3,exodo
Old,Old,jueces,exodo
Old,Old,salmoslibro5,isaias
Old,Old,deuteronomio,2cronicas
Old,Old,isaias,salmoslibro1
Old,Old,1reyes,ezequie
New,New,apocalipsis,ezequie
Old,Old,salmoslibro4,isaias
New,New,hebreos,ezequie
Old,Old,deuteronomio,exodo
Old,Old,josue,2cronicas
Old,Old,jeremias,2cronicas
Old,Old,eclesiastes,2cronicas
Old,Old,genesis,deuteronomio
New,Old,2pedro,ezequie
Old,New,ezequie,ezequie
Old,Old,1samue,isaias
New,New,hebreos,ezequie
Old,Old,isaias,isaias
Old,Old,proverbios,genesis
Old,Old,job,salmoslibro1
Old,New,sofonias,ezequie
Old,New,salmoslibro1,ezequie
Old,Old,1reyes,isaias
New,New,mateo,jeremias
Old,Old,ezequie,exodo
Old,Old,miqueas,ezequie
Old,Old,deuteronomio,jeremias
Old,Old,genesis,genesis
Old,Old,proverbios,exodo
Old,Old,isaias,genesis
Old,Old,oseas,salmoslibro1
Old,Old,genesis,ezequie
Old,Old,job,genesis
Old,Old,deuteronomio,genesis
Old,Old,isaias,salmoslibro1
Old,Old,salmoslibro1,salmoslibro1
Old,Old,oseas,jeremias
Old,Old,1cronicas,genesis
Old,Old,ezequie,ezequie
Old,Old,job,salmoslibro1
Old,Old,1samue,exodo
Old,Old,2cronicas,isaias
Old,Old,1cronicas,genesis
Old,Old,genesis,deuteronomio
Old,Old,ezequie,isaias
Old,Old,isaias,exodo
Old,Old,1cronicas,genesis
New,Old,romanos,ezequie
New,New,santiago,ezequie
Old,Old,levitico,exodo
Old,Old,oseas,ezequie
