Testament,Testament_Prediction,Book,Book_Prediction
Old,Old,jeremias,jeremias
Old,Old,genesis,isaias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,jueces,salmoslibro1
Old,Old,1samue,genesis
Old,Old,isaias,jeremias
Old,Old,salmoslibro2,jeremias
New,Old,hebreos,genesis
Old,Old,genesis,exodo
Old,Old,1cronicas,genesis
New,Old,1corintios,jeremias
Old,Old,isaias,2cronicas
Old,Old,nehemias,jeremias
Old,Old,numeros,exodo
Old,Old,job,salmoslibro1
Old,Old,esdras,genesis
New,Old,santiago,isaias
Old,Old,salmoslibro5,exodo
New,Old,tito,jeremias
Old,Old,salmoslibro1,jeremias
Old,Old,job,jeremias
Old,Old,ezequie,2cronicas
Old,Old,salmoslibro3,salmoslibro1
New,Old,lucas,jeremias
Old,Old,2cronicas,isaias
Old,Old,2samue,salmoslibro1
Old,Old,oseas,2cronicas
Old,Old,1samue,salmoslibro1
Old,Old,danie,jeremias
Old,Old,deuteronomio,salmoslibro1
New,Old,hebreos,2cronicas
Old,Old,ester,2cronicas
Old,Old,sofonias,jeremias
Old,Old,isaias,jeremias
Old,Old,2cronicas,isaias
New,Old,galatas,genesis
New,Old,1pedro,jeremias
Old,Old,salmoslibro5,isaias
Old,Old,danie,2cronicas
Old,Old,2samue,jeremias
Old,Old,levitico,exodo
Old,Old,1cronicas,genesis
Old,Old,proverbios,2cronicas
New,Old,1tesalonicenses,jeremias
Old,Old,eclesiastes,isaias
New,Old,apocalipsis,isaias
Old,Old,levitico,salmoslibro1
Old,Old,jeremias,jeremias
New,Old,mateo,isaias
Old,Old,josue,jeremias
Old,Old,jeremias,exodo
Old,Old,1samue,salmoslibro1
Old,Old,levitico,salmoslibro1
Old,Old,1samue,genesis
Old,Old,jueces,2cronicas
Old,Old,genesis,exodo
Old,Old,isaias,salmoslibro1
Old,Old,1samue,salmoslibro1
New,Old,1corintios,jeremias
Old,Old,levitico,genesis
Old,Old,nehemias,exodo
Old,Old,job,isaias
Old,Old,numeros,salmoslibro1
Old,Old,salmoslibro3,jeremias
Old,Old,ezequie,exodo
Old,Old,genesis,exodo
New,Old,2corintios,jeremias
New,Old,mateo,jeremias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,salmoslibro5,salmoslibro1
Old,Old,exodo,exodo
Old,Old,cantares,ezequie
New,Old,marcos,jeremias
Old,Old,josue,exodo
New,Old,hechos,ezequie
Old,Old,eclesiastes,2cronicas
Old,Old,josue,exodo
Old,Old,2samue,jeremias
Old,Old,salmoslibro4,isaias
Old,Old,salmoslibro1,salmoslibro1
New,Old,apocalipsis,exodo
Old,Old,numeros,2cronicas
Old,Old,cantares,exodo
Old,Old,salmoslibro5,jeremias
New,Old,marcos,2cronicas
Old,Old,jueces,salmoslibro1
Old,Old,isaias,jeremias
Old,Old,jeremias,isaias
New,Old,1timoteo,jeremias
Old,Old,ezequie,isaias
Old,Old,zacarias,jeremias
Old,Old,1samue,jeremias
Old,Old,1samue,exodo
Old,Old,exodo,exodo
Old,Old,nehemias,jeremias
Old,Old,isaias,jeremias
Old,Old,deuteronomio,exodo
Old,Old,2cronicas,isaias
Old,Old,habacuc,salmoslibro1
Old,Old,josue,exodo
Old,Old,salmoslibro2,salmoslibro1
Old,Old,salmoslibro4,salmoslibro1
New,Old,hechos,jeremias
New,Old,mateo,jeremias
Old,Old,salmoslibro3,exodo
Old,Old,jueces,exodo
Old,Old,salmoslibro5,isaias
Old,Old,deuteronomio,2cronicas
Old,Old,isaias,isaias
Old,Old,1reyes,ezequie
New,Old,apocalipsis,jeremias
Old,Old,salmoslibro4,isaias
New,Old,hebreos,jeremias
Old,Old,deuteronomio,exodo
Old,Old,josue,2cronicas
Old,Old,jeremias,isaias
Old,Old,eclesiastes,2cronicas
Old,Old,genesis,isaias
New,Old,2pedro,ezequie
Old,Old,ezequie,jeremias
Old,Old,1samue,isaias
New,Old,hebreos,jeremias
Old,Old,isaias,isaias
Old,Old,proverbios,genesis
Old,Old,job,salmoslibro1
Old,Old,sofonias,jeremias
Old,Old,salmoslibro1,jeremias
Old,Old,1reyes,isaias
New,Old,mateo,jeremias
Old,Old,ezequie,exodo
Old,Old,miqueas,jeremias
Old,Old,deuteronomio,jeremias
Old,Old,genesis,genesis
Old,Old,proverbios,exodo
Old,Old,isaias,genesis
Old,Old,oseas,salmoslibro1
Old,Old,genesis,jeremias
Old,Old,job,genesis
Old,Old,deuteronomio,genesis
Old,Old,isaias,isaias
Old,Old,salmoslibro1,salmoslibro1
Old,Old,oseas,ezequie
Old,Old,1cronicas,genesis
Old,Old,ezequie,ezequie
Old,Old,job,salmoslibro1
Old,Old,1samue,exodo
Old,Old,2cronicas,isaias
Old,Old,1cronicas,genesis
Old,Old,genesis,isaias
Old,Old,ezequie,isaias
Old,Old,isaias,exodo
Old,Old,1cronicas,genesis
New,Old,romanos,ezequie
New,Old,santiago,jeremias
Old,Old,levitico,exodo
Old,Old,oseas,jeremias
